date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2022-07-20T00:00:00.000,SD,42045,574312,858178,147,62.8
2022-07-20T00:00:00.000,MI,469248,6484849,9468817,2354,60.7
2022-07-20T00:00:00.000,DC,38334,587982,991761,2001,76.9
2022-07-20T00:00:00.000,KS,137119,1801252,2774907,5087,62.8
2022-07-20T00:00:00.000,RI,66192,885748,1363592,2190,84.1
2022-07-20T00:00:00.000,PA,790839,9321174,13962315,1521,69.9
2022-07-20T00:00:00.000,UT,186021,1873103,3359147,405,65
2022-07-20T00:00:00.000,WA,489884,5676975,8976205,14088,73.2
2022-04-03T00:00:00.000,BP2,14166,141196,155957,32,0
2022-07-20T00:00:00.000,AR,124778,1870963,2373340,4268,55.2
2022-07-20T00:00:00.000,MN,358937,3942330,6547990,5753,69.9
2022-07-20T00:00:00.000,MO,252282,3368653,5674316,2487,56.9
2022-07-20T00:00:00.000,MA,406459,6107667,9029185,480,80.2
2022-07-20T00:00:00.000,VI,2334,44768,101847,0,54
2022-07-20T00:00:00.000,ID,89079,965372,1541152,4208,56
2022-07-20T00:00:00.000,BP2,14174,149557,161989,32,0
2022-07-20T00:00:00.000,FM,13681,89826,43206,86,60
2022-07-20T00:00:00.000,NE,95377,1188366,2028751,7709,64.2
2022-07-20T00:00:00.000,AL,178092,2820037,3465027,662,51.8
2022-07-20T00:00:00.000,OK,155496,2461203,3480485,4191,58.2
2022-07-20T00:00:00.000,IL,682290,8328651,14431512,31933,69.2
2022-07-20T00:00:00.000,OR,277546,3051415,4816507,18513,70.4
2022-07-20T00:00:00.000,ND,39839,421633,677391,358,56.2
2022-07-20T00:00:00.000,NV,188245,1740845,3141739,616,61.6
2022-07-20T00:00:00.000,PW,2354,37647,8985,159,84.9
2022-07-20T00:00:00.000,AZ,375046,4969210,7343476,39402,62.6
2022-07-20T00:00:00.000,MH,3033,56448,18144,3,39.5
2022-07-20T00:00:00.000,NH,88980,991299,1602795,181,71.8
2022-07-20T00:00:00.000,FL,1489654,14402214,22777609,153241,67.8
2022-07-20T00:00:00.000,CA,2319504,29504161,46719131,16171,73
2022-07-20T00:00:00.000,DD2,317228,2738833,5327537,34393,0
2022-07-20T00:00:00.000,NJ,580449,6747606,10539493,4238,76.7
2022-07-20T00:00:00.000,NM,120022,1673261,2321320,10829,72.3
2022-07-13T00:00:00.000,MO,252074,3356509,5651907,2456,56.8
2022-07-13T00:00:00.000,WA,489603,5655452,8941642,13965,73.1
2022-07-13T00:00:00.000,MI,469082,6476788,9454182,2333,60.7
2022-07-13T00:00:00.000,NM,119973,1667163,2311976,10718,72.1
2022-07-13T00:00:00.000,VA2,256162,3953739,3442663,40,0
2022-07-13T00:00:00.000,MN,358779,3929508,6524220,5697,69.8
2022-07-13T00:00:00.000,VI,2334,44689,101761,0,54
2022-07-13T00:00:00.000,BP2,14174,149551,161982,32,0
2022-07-13T00:00:00.000,WV,67878,1214273,1525626,1890,58.2
2022-07-13T00:00:00.000,MS,94217,1603230,2282100,3634,52.5
2022-07-13T00:00:00.000,KS,136996,1793195,2761100,4850,62.7
2022-07-13T00:00:00.000,PR,152845,2807258,4436449,339,83.7
2022-07-13T00:00:00.000,CT,250906,2999913,4654491,1262,80.2
2022-07-13T00:00:00.000,DD2,316635,2728063,5299164,33406,0
2022-07-13T00:00:00.000,AL,177957,2809113,3450910,646,51.7
2022-07-13T00:00:00.000,VA,503734,6055393,10447579,11518,73.9
2022-07-13T00:00:00.000,ND,39821,420732,674823,355,56.2
2022-07-13T00:00:00.000,IA,179827,2111137,3010394,663,62.5
2022-07-13T00:00:00.000,PA,790226,9275946,13900565,1505,69.8
2022-07-13T00:00:00.000,AK,45895,455887,678775,1257,62.8
2022-07-13T00:00:00.000,MT,61886,694475,888627,2428,57.4
2022-07-13T00:00:00.000,TX,1581066,17674592,29205256,6216,62.4
2022-07-13T00:00:00.000,CO,342472,4333696,6519718,12485,71
2022-05-25T00:00:00.000,BP2,14174,146730,159473,32,0
2022-07-13T00:00:00.000,HI,71215,1130568,1892744,569,79.3
2022-07-13T00:00:00.000,AR,124778,1870674,2373216,4265,55.1
2022-07-13T00:00:00.000,SD,42036,573776,857316,144,62.8
2022-07-13T00:00:00.000,NJ,580073,6725428,10503203,4213,76.6
2022-07-13T00:00:00.000,UT,185800,1864123,3334623,385,64.9
2022-07-13T00:00:00.000,AS,577,24977,85326,1208,88.6
2022-07-13T00:00:00.000,NH,88932,988385,1596131,176,71.7
2022-07-13T00:00:00.000,NC,519508,6472743,10332908,1160,62.7
2022-07-13T00:00:00.000,CA,2317626,29386743,46514787,16092,73
2022-07-13T00:00:00.000,VT,53831,578324,840407,892,82.1
2022-07-13T00:00:00.000,PW,2354,37575,8954,159,84.9
2022-07-13T00:00:00.000,MH,3012,55828,17657,3,39.1
2022-07-13T00:00:00.000,NY,1444368,14660431,24360338,27102,77.9
2022-07-13T00:00:00.000,ID,88991,961249,1534351,4175,55.9
